route_id,point_index,lat,lon,cum_distance_km,elevation_m_raw,elevation_m_smoothed,segment_length_m,delta_elevation_m,gradient_percent,cum_elevation_gain_m,cum_elevation_loss_m
manali_leh,46,32.31914141469092,77.15304741427295,11.729,2530.0,2529.6,294.9,16.6,5.63,624.1,0.0
manali_leh,47,32.3208721237336,77.15066206408663,12.024,2580.0,2552.6,295.4,23.0,7.79,647.1,0.0
manali_leh,48,32.32269765419948,77.14957524456634,12.252,2559.0,2571.4,227.2,18.8,8.27,665.9,0.0
manali_leh,49,32.32497328149349,77.14928463649335,12.506,2592.0,2580.4,254.5,9.0,3.54,674.9,0.0
manali_leh,50,32.327614896729976,77.14914476838258,12.8,2596.0,2584.2,294.0,3.8,1.29,678.7,0.0
manali_leh,51,32.33023568434308,77.14936695132573,13.092,2575.0,2595.8,292.2,11.6,3.97,690.3,0.0
manali_leh,52,32.328842925933024,77.14874539259331,13.258,2599.0,2605.8,165.5,10.0,6.04,700.3,0.0
manali_leh,53,32.32654492212826,77.14840441056778,13.515,2617.0,2616.0,257.5,10.2,3.96,710.5,0.0
manali_leh,54,32.3279331164771,77.14771433227611,13.683,2642.0,2637.2,167.4,21.2,12.66,731.7,0.0
manali_leh,55,32.330379277987525,77.1479323571528,13.956,2647.0,2660.2,272.8,23.0,8.43,754.7,0.0
manali_leh,56,32.332532944323084,77.14607924169364,14.252,2681.0,2682.6,296.1,22.4,7.57,777.1,0.0
manali_leh,57,32.33421417433555,77.14382876239071,14.534,2714.0,2699.8,282.2,17.2,6.09,794.3,0.0
manali_leh,58,32.33644581336055,77.14213368444835,14.829,2729.0,2718.0,294.9,18.2,6.17,812.5,0.0
manali_leh,59,32.338813781807666,77.14118909926648,15.107,2728.0,2726.8,277.9,8.8,3.17,821.3,0.0
manali_leh,60,32.34057161378347,77.14025472561411,15.321,2738.0,2737.2,214.3,10.4,4.85,831.7,0.0
manali_leh,61,32.341651120112545,77.13980849092852,15.448,2725.0,2745.6,127.1,8.4,6.61,840.1,0.0
manali_leh,62,32.34217645034115,77.13719080963556,15.701,2766.0,2755.0,252.8,9.4,3.72,849.5,0.0
manali_leh,63,32.34394156130812,77.1349517425895,15.989,2771.0,2766.0,287.7,11.0,3.82,860.5,0.0
manali_leh,64,32.34607523530539,77.13304841603164,16.286,2775.0,2782.2,297.1,16.2,5.45,876.7,0.0
manali_leh,65,32.34843667818794,77.13167612391817,16.578,2793.0,2799.2,292.5,17.0,5.81,893.7,0.0
